Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
12/29/14 22:57,12/30/14 7:30,100%,8:32,:),,59
12/30/14 21:17,12/30/14 21:33,3%,0:16,:|,Stressful day,72
12/30/14 22:42,12/31/14 7:13,98%,8:30,:|,,57
12/31/14 22:31,1/1/15 6:03,65%,7:32,,,
1/1/15 22:12,1/2/15 4:56,72%,6:44,:),Drank coffee:Drank tea,68
1/3/15 0:34,1/3/15 7:47,83%,7:12,:),Drank coffee:Drank tea,60
1/4/15 0:23,1/4/15 7:37,78%,7:14,,Drank tea,
1/4/15 21:34,1/5/15 4:53,78%,7:18,:),Ate late:Drank coffee,57
1/5/15 21:32,1/6/15 5:00,69%,7:27,:),Drank coffee:Drank tea:Worked out,56
1/6/15 21:24,1/7/15 5:00,74%,7:35,:|,Drank tea:Worked out,64
1/7/15 20:59,1/8/15 6:19,81%,9:19,:),Drank coffee:Drank tea:Stressful day,62
1/8/15 22:58,1/9/15 6:14,88%,7:16,:),Drank coffee:Drank tea,58
1/9/15 22:27,1/10/15 7:29,77%,9:01,:|,Drank coffee:Drank tea,65
1/10/15 22:38,1/11/15 7:28,89%,8:50,:|,Drank coffee:Drank tea,65
1/11/15 22:12,1/12/15 6:20,78%,8:08,:),Drank tea,53
1/12/15 21:01,1/13/15 6:13,100%,9:11,:),Drank tea:Worked out,65
1/13/15 22:14,1/14/15 6:20,100%,8:06,:),Drank coffee:Drank tea,55
1/14/15 21:48,1/15/15 5:02,88%,7:13,:),Drank coffee:Drank tea:Worked out,60
1/15/15 21:32,1/16/15 4:54,87%,7:22,:),Drank tea,60
1/17/15 2:11,1/17/15 9:03,83%,6:51,:),Drank coffee:Drank tea,94
1/17/15 23:55,1/18/15 7:47,93%,7:51,:),Drank coffee:Drank tea,57
1/18/15 21:51,1/19/15 5:04,58%,7:12,:),Drank coffee,67
1/19/15 5:06,1/19/15 6:20,16%,1:13,:),,58
1/19/15 21:45,1/20/15 5:45,75%,8:00,:|,Drank coffee:Drank tea:Worked out,54
1/20/15 21:42,1/21/15 5:45,80%,8:02,:|,Drank coffee:Drank tea:Worked out,60
1/21/15 22:34,1/22/15 6:17,87%,7:42,:),Drank coffee:Drank tea:Worked out,75
1/25/15 20:55,1/26/15 6:14,87%,9:19,:),Drank coffee,58
1/26/15 22:36,1/27/15 6:11,83%,7:35,:|,Drank coffee:Drank tea:Stressful day,66
1/28/15 21:43,1/29/15 5:20,76%,7:37,:),Drank coffee:Drank tea:Stressful day,57
1/29/15 22:23,1/30/15 5:29,67%,7:05,:),Drank coffee:Drank tea:Worked out,63
1/31/15 0:13,1/31/15 8:17,93%,8:03,:),Drank coffee:Drank tea:Stressful day,62
2/1/15 21:55,2/2/15 5:09,64%,7:13,:),Drank coffee:Drank tea,56
2/2/15 22:30,2/3/15 6:20,75%,7:49,:),Drank tea,61
2/3/15 22:47,2/4/15 6:20,72%,7:32,:),Drank coffee:Drank tea,61
2/4/15 23:03,2/5/15 6:10,70%,7:07,:),Drank tea:Worked out,57
2/8/15 22:30,2/9/15 6:48,89%,8:17,:),Drank coffee:Drank tea,61
