overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,timeInBed,efficiency,deep,rem,wake,light,Duration
79,37,36,53,0.078977933,24486013387,11/2/19,25800000,378,52,430,97,36,83,52,259,430
71,38,38,52,0.093491124,24497341340,11/3/19,25320000,378,44,422,96,38,51,44,289,422
68,38,37,53,0.064850843,24507914069,11/4/19,23940000,361,38,399,96,37,35,38,289,399
73,36,26,54,0.093184979,24521896102,11/5/19,21720000,326,36,362,99,27,39,36,260,362
67,37,65,52,0.064471879,24534036899,11/6/19,21840000,341,23,364,99,66,38,23,237,364
71,34,44,54,0.068181818,24544805751,11/7/19,21960000,312,54,366,97,44,28,54,240,366
71,34,44,54,0.068181818,24544805751,11/7/19,21960000,312,54,366,97,44,28,54,240,366
74,38,34,53,0.05648267,24557456459,11/8/19,23520000,360,32,392,100,34,82,32,244,392
74,35,36,53,0.066411239,24568877484,11/9/19,23460000,344,47,391,99,36,64,47,244,391
81,38,52,53,0.061611374,24579324569,11/10/19,25320000,382,40,422,99,52,81,40,249,422
66,35,38,52,0.125360231,24590226936,11/11/19,21360000,318,38,356,97,38,24,38,256,356
70,38,50,52,0.080952381,24604556303,11/12/19,25380000,378,45,423,98,51,38,45,289,423
76,35,28,52,0.056768559,24618615466,11/13/19,21660000,320,41,361,97,28,82,41,210,361
65,35,42,51,0.107586207,24628844253,11/14/19,22020000,325,42,367,99,42,45,42,238,367
74,37,58,51,0.110810811,24641842224,11/15/19,23100000,342,43,385,95,58,86,43,198,385
67,34,20,51,0.107954545,24652788470,11/16/19,21540000,317,42,359,93,20,46,42,251,359
71,36,49,51,0.14953271,24664385870,11/17/19,22620000,337,40,377,96,49,67,40,221,377
72,35,8,51,0.091655267,24676261766,11/18/19,22320000,330,42,372,98,8,60,42,262,372
67,34,43,50,0.085314685,24688967886,11/19/19,21660000,318,43,361,96,43,63,43,212,361
74,38,39,53,0.073372781,24703157234,11/20/19,25320000,383,39,422,97,39,66,39,278,422
70,34,32,52,0.094212651,24717053033,11/21/19,22260000,327,44,371,98,33,58,44,236,371
66,35,41,52,0.093959732,24738250860,11/22/19,22320000,333,39,372,97,41,49,39,243,372
71,37,74,53,0.102791878,24748626099,11/23/19,24600000,356,54,410,98,74,25,54,257,410
80,41,55,53,0.073694985,24784535314,11/24/19,29280000,421,67,488,95,56,83,67,282,488
71,36,22,53,0.085434174,24784535315,11/25/19,22020000,332,35,367,98,22,33,35,277,367
66,32,41,52,0.134589502,24784535316,11/26/19,22260000,318,53,371,98,41,31,53,246,371
75,37,27,51,0.081607795,24814208772,11/27/19,24600000,365,45,410,97,27,58,45,280,410
70,34,25,51,0.081736909,24814208773,11/28/19,23460000,341,50,391,94,25,27,50,289,391
67,34,42,49,0.094752187,24833913565,11/29/19,21660000,309,52,361,93,43,83,52,183,361
74,41,40,50,0.064629847,24833913567,11/30/19,26100000,402,33,435,97,41,43,33,318,435
72,38,34,51,0.143523921,24844211484,12/1/19,25680000,387,41,428,96,35,54,41,298,428
65,28,10,50,0.056470588,24883896361,12/2/19,12780000,190,23,213,95,10,30,23,150,213
76,37,21,50,0.051792829,24883896362,12/3/19,22800000,345,35,380,98,21,62,35,262,380
67,36,42,50,0.088520055,24884748604,12/4/19,22620000,335,42,377,94,42,42,42,251,377
66,34,36,51,0.08297568,24896517693,12/5/19,21180000,314,39,353,95,36,59,39,219,353
54,25,24,51,0.194677871,24907589731,12/6/19,21540000,290,69,359,89,24,87,69,179,359
81,43,74,53,0.081808396,24918333423,12/7/19,28320000,424,48,472,94,74,62,48,288,472
81,43,74,53,0.081808396,24918333423,12/7/19,28320000,424,48,472,94,74,62,48,288,472
80,40,21,52,0.090909091,24928897739,12/8/19,26400000,402,38,440,97,21,105,38,276,440
62,35,38,51,0.125490196,24939299803,12/9/19,22920000,332,50,382,94,38,35,50,259,382
78,37,20,53,0.063800277,24959428562,12/10/19,21600000,336,24,360,99,20,91,24,225,360
76,39,53,51,0.137526652,24965365261,12/11/19,28380000,416,57,473,94,54,110,57,252,473
53,28,18,51,0.107942974,24977378510,12/12/19,14940000,220,29,249,96,18,17,29,185,249
68,37,57,53,0.03943662,24993382413,12/13/19,22140000,337,32,369,96,58,17,32,262,369
71,39,34,54,0.065632458,25002949972,12/14/19,25620000,386,41,427,97,34,30,41,322,427
74,38,28,54,0.135740971,25013252574,12/15/19,24060000,369,32,401,97,28,85,32,256,401
75,38,30,54,0.116981132,25024072567,12/16/19,23820000,367,30,397,99,30,69,30,268,397
