overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
82,40,104,55,0.054001929,24557669295,11/8/19,31080000,454,64,0,518,98,104,109,64,241
76,37,74,53,0.0525,24568088329,11/9/19,24600000,367,43,3,410,97,74,39,43,254
86,41,96,53,0.042448174,24591118909,11/11/19,30360000,456,50,0,506,97,97,138,50,221
78,41,95,52,0.054080629,24620397191,11/12/19,30840000,452,62,0,514,97,95,82,62,275
76,39,71,52,0.06268081,24620397192,11/13/19,31080000,443,75,0,518,96,71,63,75,309
78,42,66,52,0.054822335,24629313502,11/14/19,30660000,447,64,0,511,97,67,56,64,324
80,44,87,53,0.049151028,24642856054,11/15/19,33720000,488,74,0,562,97,87,71,74,330
80,40,106,54,0.069600819,24653443687,11/16/19,29280000,426,62,5,488,95,106,89,62,231
55,25,39,55,0.115973742,24665658497,11/17/19,18960000,238,78,0,316,90,49,32,78,157
74,36,74,57,0.052415211,24677959808,11/18/19,29700000,416,79,1,495,96,74,46,79,296
88,45,132,56,0.052064632,24690222313,11/19/19,33780000,493,70,0,563,96,132,90,70,271
85,41,105,55,0.056547619,24704811691,11/20/19,30660000,444,67,7,511,97,105,101,67,238
84,43,121,55,0.082976903,24720082785,11/21/19,35400000,493,97,0,590,94,122,101,97,270
67,33,68,55,0.064564565,24739496011,11/22/19,21060000,306,45,1,351,97,68,40,45,198
85,41,113,57,0.09219191,24750473684,11/23/19,31860000,474,57,0,531,94,113,114,57,247
48,20,51,56,0.097345133,24762389261,11/24/19,16920000,235,47,10,282,90,51,30,47,154
89,46,92,59,0.050513023,24773265387,11/25/19,38760000,589,57,0,646,97,92,110,57,387
87,46,102,56,0.054318789,24787280516,11/26/19,33780000,510,53,0,563,96,102,95,53,313
81,40,81,56,0.06916996,24797261032,11/27/19,30660000,437,74,1,511,95,82,105,74,250
78,38,110,56,0.041237113,24813192830,11/28/19,27720000,397,65,0,462,96,110,56,65,231
80,40,70,56,0.049073064,24816794063,11/29/19,27960000,417,49,0,466,96,71,79,49,267
74,37,105,57,0.038510911,24832789478,11/30/19,23340000,357,32,0,389,97,105,91,32,161
85,41,112,58,0.04047384,24840278233,12/1/19,30720000,456,56,1,512,96,112,110,56,234
80,40,91,57,0.050200803,24850225725,12/2/19,30780000,431,82,0,513,94,91,86,82,254
88,42,142,55,0.052684904,24863363675,12/3/19,30720000,451,61,0,512,95,143,114,61,194
84,44,63,55,0.067144136,24885180630,12/4/19,33660000,482,79,0,561,96,64,106,79,312
75,36,103,55,0.055674518,24897470664,12/5/19,28680000,404,74,0,478,96,103,71,74,230
75,36,103,55,0.055674518,24897470664,12/5/19,28680000,404,74,0,478,96,103,71,74,230
63,31,28,56,0.080491132,24906019321,12/6/19,22560000,317,59,3,376,90,29,19,59,269
70,38,69,56,0.031290743,24920178889,12/7/19,23460000,363,28,4,391,97,69,60,28,234
54,20,59,58,0.065989848,24929281012,12/8/19,17700000,246,49,0,295,94,59,88,49,99
93,46,132,60,0.056179775,24940595750,12/9/19,35160000,529,57,0,586,96,132,129,57,268
80,37,71,58,0.06010929,24955222875,12/10/19,27420000,397,60,0,457,97,72,85,60,240
85,40,133,57,0.056657224,24968864039,12/11/19,32460000,466,75,0,541,94,133,135,75,198
83,40,70,57,0.051599587,24977713670,12/12/19,29220000,427,60,1,487,97,70,84,60,273
79,41,93,55,0.061412487,24992472662,12/13/19,30240000,428,76,0,504,97,93,83,76,252
88,45,95,56,0.043956044,25003613866,12/14/19,33240000,482,72,0,554,98,95,146,72,241
83,41,86,55,0.053106212,25013421504,12/15/19,30900000,439,76,0,515,97,86,83,76,270
77,40,70,55,0.05786802,25024291416,12/16/19,29520000,427,65,0,492,96,71,54,65,302
82,42,117,57,0.048216008,25037523694,12/17/19,31620000,468,59,0,527,98,117,81,59,270
86,42,120,57,0.073022312,25054524296,12/18/19,29940000,445,54,0,499,92,121,140,54,184
80,39,67,56,0.060832444,25069236727,12/19/19,28080000,418,50,0,468,95,67,76,50,275
67,35,80,57,0.036568214,25083460566,12/20/19,21300000,327,28,0,355,97,80,52,28,195
88,42,81,58,0.043254377,25095207998,12/21/19,29400000,446,44,0,490,97,81,108,44,257
87,41,103,58,0.054600607,25104272160,12/22/19,29640000,438,56,0,494,98,104,132,56,202
87,42,76,57,0.054054054,25117434287,12/23/19,30840000,439,75,0,514,96,76,100,75,263
